,book,character
1192,4 Time of Contempt,Lydia van Bredevoort
1193,4 Time of Contempt,Malvina Akerspaark
1194,4 Time of Contempt,Mansfeld
1195,4 Time of Contempt,Marder
1196,4 Time of Contempt,Margarita Laux-Antille
1197,4 Time of Contempt,Markus Braibant
1198,4 Time of Contempt,Marquard
1199,4 Time of Contempt,Marti Södergren
1200,4 Time of Contempt,Menno Coehoorn
1201,4 Time of Contempt,Meve
1202,4 Time of Contempt,Michael Glomb
1203,4 Time of Contempt,Michelet brothers
1204,4 Time of Contempt,Milan Raupenneck
1205,4 Time of Contempt,Millet
1206,4 Time of Contempt,Milva
1207,4 Time of Contempt,Mistle
1208,4 Time of Contempt,Molnar Giancardi
1209,4 Time of Contempt,Morvran Voorhis
1210,4 Time of Contempt,Nazarian
1211,4 Time of Contempt,Nenneke
1212,4 Time of Contempt,Niedamir
1213,4 Time of Contempt,Nina Akerspaark
1214,4 Time of Contempt,Nina Fioravanti
1215,4 Time of Contempt,Nitert
1216,4 Time of Contempt,Nora Wagner
1217,4 Time of Contempt,Orm Akerspaark
1218,4 Time of Contempt,Paulie Dahlberg
1219,4 Time of Contempt,Paulina Akerspaark
1220,4 Time of Contempt,Pavetta
1221,4 Time of Contempt,Pegasus
1222,4 Time of Contempt,Peter Evertsen
1223,4 Time of Contempt,Petunia Hofmeier
1224,4 Time of Contempt,Philippa Eilhart
1225,4 Time of Contempt,Radcliffe
1226,4 Time of Contempt,Radmir
1227,4 Time of Contempt,Raffard the White
1228,4 Time of Contempt,Ralf Blunden
1229,4 Time of Contempt,Ransant Alvaro
1230,4 Time of Contempt,Rayla
1231,4 Time of Contempt,Reef
1232,4 Time of Contempt,Rejean
1233,4 Time of Contempt,Remiz
1234,4 Time of Contempt,Rience
1235,4 Time of Contempt,Rizzi Michelet
1236,4 Time of Contempt,Roach
1237,4 Time of Contempt,Roderick de Novembre
1238,4 Time of Contempt,Roegner of Ebbing
1239,4 Time of Contempt,Rudiger
1240,4 Time of Contempt,Sabrina Glevissig
1241,4 Time of Contempt,Schirrú
1242,4 Time of Contempt,Sigismund Dijkstra
1243,4 Time of Contempt,Sir Sweers
1244,4 Time of Contempt,Skomlik
1245,4 Time of Contempt,Stahler
1246,4 Time of Contempt,Stefan Skellen
1247,4 Time of Contempt,Stella Congreve
1248,4 Time of Contempt,Talbot
1249,4 Time of Contempt,Tangerinka Hofmeier
1250,4 Time of Contempt,Tissaia de Vries
1251,4 Time of Contempt,Torm Akerspaark
1252,4 Time of Contempt,Toruviel
1253,4 Time of Contempt,Toublanc Michelet
1254,4 Time of Contempt,Triss Merigold
1255,4 Time of Contempt,Two Tusks
1256,4 Time of Contempt,Valia Akerspaark
1257,4 Time of Contempt,Vattier de Rideaux
1258,4 Time of Contempt,Venzlav
1259,4 Time of Contempt,Vercta
1260,4 Time of Contempt,Vesemir
1261,4 Time of Contempt,Vilgefortz
1262,4 Time of Contempt,Villis
1263,4 Time of Contempt,Vissegerd
1264,4 Time of Contempt,Vizimir II
1265,4 Time of Contempt,Voymir (Redanian)
1266,4 Time of Contempt,Wilfli
1267,4 Time of Contempt,Willemer
1268,4 Time of Contempt,Xarthisius
1269,4 Time of Contempt,Yaevinn
1270,4 Time of Contempt,Yanna of Murivel
1271,4 Time of Contempt,Yarpen Zigrin
1272,4 Time of Contempt,Yennefer of Vengerberg
1273,4 Time of Contempt,Yiolenta Suarez
1274,4 Time of Contempt,Zyvik
